village,adjmatrix_key,pid,hhid,resp_id,resp_gend,resp_status,age,religion,caste,subcaste,mothertongue,speakother,kannada,tamil,telugu,hindi,urdu,english,otherlang,educ,villagenative,native_name,native_type,native_taluk,native_district,res_time_yrs,res_time_mths,movereason,movecontact,movecontact_res,movecontact_hhid,movecontact_pid,movecontact_name,workflag,work_freq,work_freq_type,occupation,privategovt,work_outside,work_outside_freq,shgparticipate,shg_no,savings,savings_no,electioncard,rationcard,rationcard_colour
1,5,100201,1002,1,1,Head of Household,38,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,2ND STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,BUSINESS,PRIVATE BUSINESS,Yes,0.0,No,,No,,Yes,Yes,GREEN
1,6,100202,1002,2,2,Spouse of Head of Household,27,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,2ND STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,16.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
1,23,100601,1006,1,1,Head of Household,29,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE LABOUR,OTHER LAND,No,,No,,No,,Yes,Yes,GREEN
1,24,100602,1006,2,2,Spouse of Head of Household,24,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,6.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,TAILOR,PRIVATE BUSINESS,No,,Yes,1.0,Yes,1.0,Yes,No,
1,27,100701,1007,1,1,Head of Household,58,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,AGRICULTURE CAUSUAL LABOUR,OTHER LAND,No,,No,,No,,Yes,Yes,GREEN
1,28,100702,1007,2,2,Spouse of Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE,OWN LAND,No,,No,,No,,Yes,Yes,GREEN
1,33,100801,1008,1,1,Head of Household,54,HINDUISM,OBC,VOKKALIGA,KANNADA,Yes,No,No,Yes,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,35.0,0.0,WORK,Yes,Yes,1060.0,1.0,data has been removed for publication,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN,No,,No,,No,,Yes,Yes,GREEN
1,34,100802,1008,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,21.0,,WORK,Yes,Yes,1007.0,2.0,data has been removed for publication,Yes,6.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
1,37,100805,1008,5,2,Other,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,20.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
1,38,100806,1008,6,1,Other,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,FACTORY WORKER,GOVERNMENT,No,,No,,No,,Yes,Yes,RED
